Source,Destination,Date,Fare
Visakhapatnam,Chennai,2/6/2019,5127
Visakhapatnam,Chennai,2/7/2019,5127
Visakhapatnam,Chennai,2/8/2019,5127
Visakhapatnam,Chennai,2/9/2019,5812
Visakhapatnam,Chennai,2/10/2019,8112
Visakhapatnam,Chennai,2/11/2019,5127
Visakhapatnam,Chennai,2/12/2019,2612
Visakhapatnam,Chennai,2/13/2019,2616
Visakhapatnam,Chennai,2/14/2019,2612
Visakhapatnam,Chennai,2/15/2019,2612
Visakhapatnam,Chennai,2/16/2019,2612
Visakhapatnam,Chennai,2/17/2019,3212
Visakhapatnam,Chennai,2/18/2019,2612
Visakhapatnam,Chennai,2/19/2019,2612
Visakhapatnam,Chennai,2/20/2019,2612
Visakhapatnam,Chennai,2/21/2019,2612
Visakhapatnam,Chennai,2/22/2019,2612
Visakhapatnam,Chennai,2/23/2019,2612
Visakhapatnam,Chennai,2/24/2019,4917
Visakhapatnam,Chennai,2/25/2019,2612
Visakhapatnam,Chennai,2/26/2019,2612
Visakhapatnam,Chennai,2/27/2019,2612
Visakhapatnam,Chennai,2/28/2019,2612
