Source,Destination,Date,Fare
Visakhapatnam,Cochin,2/6/2019,9929
Visakhapatnam,Cochin,2/7/2019,6838
Visakhapatnam,Cochin,2/8/2019,6838
Visakhapatnam,Cochin,2/9/2019,6500
Visakhapatnam,Cochin,2/10/2019,6325
Visakhapatnam,Cochin,2/11/2019,6325
Visakhapatnam,Cochin,2/12/2019,6000
Visakhapatnam,Cochin,2/13/2019,4885
Visakhapatnam,Cochin,2/14/2019,5804
Visakhapatnam,Cochin,2/15/2019,5804
Visakhapatnam,Cochin,2/16/2019,5084
Visakhapatnam,Cochin,2/17/2019,5804
Visakhapatnam,Cochin,2/18/2019,5804
Visakhapatnam,Cochin,2/19/2019,4885
Visakhapatnam,Cochin,2/20/2019,3916
Visakhapatnam,Cochin,2/21/2019,2713
Visakhapatnam,Cochin,2/22/2019,2713
Visakhapatnam,Cochin,2/23/2019,2713
Visakhapatnam,Cochin,2/24/2019,2713
Visakhapatnam,Cochin,2/25/2019,2713
Visakhapatnam,Cochin,2/26/2019,2713
Visakhapatnam,Cochin,2/27/2019,2713
Visakhapatnam,Cochin,2/28/2019,2713
