Source,Destination,Date,Fare
Visakhapatnam,Delhi,2/6/2019,9547
Visakhapatnam,Delhi,2/7/2019,8225
Visakhapatnam,Delhi,2/8/2019,8225
Visakhapatnam,Delhi,2/9/2019,7975
Visakhapatnam,Delhi,2/10/2019,8600
Visakhapatnam,Delhi,2/11/2019,7077
Visakhapatnam,Delhi,2/12/2019,6021
Visakhapatnam,Delhi,2/13/2019,5111
Visakhapatnam,Delhi,2/14/2019,5402
Visakhapatnam,Delhi,2/15/2019,6071
Visakhapatnam,Delhi,2/16/2019,6447
Visakhapatnam,Delhi,2/17/2019,6447
Visakhapatnam,Delhi,2/18/2019,5201
Visakhapatnam,Delhi,2/19/2019,5650
Visakhapatnam,Delhi,2/20/2019,5978
Visakhapatnam,Delhi,2/21/2019,4985
Visakhapatnam,Delhi,2/22/2019,4657
Visakhapatnam,Delhi,2/23/2019,4776
Visakhapatnam,Delhi,2/24/2019,5236
Visakhapatnam,Delhi,2/25/2019,4407
Visakhapatnam,Delhi,2/26/2019,3463
Visakhapatnam,Delhi,2/27/2019,3923
Visakhapatnam,Delhi,2/28/2019,4407
