Source,Destination,Date,Fare
Visakhapatnam,Hyderabad,2/6/2019,4813
Visakhapatnam,Hyderabad,2/7/2019,3763
Visakhapatnam,Hyderabad,2/8/2019,3763
Visakhapatnam,Hyderabad,2/9/2019,3763
Visakhapatnam,Hyderabad,2/10/2019,5338
Visakhapatnam,Hyderabad,2/11/2019,3763
Visakhapatnam,Hyderabad,2/12/2019,3501
Visakhapatnam,Hyderabad,2/13/2019,2947
Visakhapatnam,Hyderabad,2/14/2019,3238
Visakhapatnam,Hyderabad,2/15/2019,3760
Visakhapatnam,Hyderabad,2/16/2019,3238
Visakhapatnam,Hyderabad,2/17/2019,3501
Visakhapatnam,Hyderabad,2/18/2019,2370
Visakhapatnam,Hyderabad,2/19/2019,2243
Visakhapatnam,Hyderabad,2/20/2019,3238
Visakhapatnam,Hyderabad,2/21/2019,1761
Visakhapatnam,Hyderabad,2/22/2019,2211
Visakhapatnam,Hyderabad,2/23/2019,2894
Visakhapatnam,Hyderabad,2/24/2019,3238
Visakhapatnam,Hyderabad,2/25/2019,2211
Visakhapatnam,Hyderabad,2/26/2019,1816
Visakhapatnam,Hyderabad,2/27/2019,1761
Visakhapatnam,Hyderabad,2/28/2019,1816
