Source,Destination,Date,Fare
Visakhapatnam,Kolkata,2/6/2019,3343
Visakhapatnam,Kolkata,2/7/2019,2795
Visakhapatnam,Kolkata,2/8/2019,2795
Visakhapatnam,Kolkata,2/9/2019,2795
Visakhapatnam,Kolkata,2/10/2019,2795
Visakhapatnam,Kolkata,2/11/2019,2795
Visakhapatnam,Kolkata,2/12/2019,2293
Visakhapatnam,Kolkata,2/13/2019,2293
Visakhapatnam,Kolkata,2/14/2019,2293
Visakhapatnam,Kolkata,2/15/2019,2333
Visakhapatnam,Kolkata,2/16/2019,2633
Visakhapatnam,Kolkata,2/17/2019,2633
Visakhapatnam,Kolkata,2/18/2019,2293
Visakhapatnam,Kolkata,2/19/2019,2033
Visakhapatnam,Kolkata,2/20/2019,2033
Visakhapatnam,Kolkata,2/21/2019,2033
Visakhapatnam,Kolkata,2/22/2019,1962
Visakhapatnam,Kolkata,2/23/2019,2033
Visakhapatnam,Kolkata,2/24/2019,2163
Visakhapatnam,Kolkata,2/25/2019,2451
Visakhapatnam,Kolkata,2/26/2019,2083
Visakhapatnam,Kolkata,2/27/2019,2033
Visakhapatnam,Kolkata,2/28/2019,2211
