Source,Destination,Date,Fare
Visakhapatnam,Pune,2/6/2019,7019
Visakhapatnam,Pune,2/7/2019,7489
Visakhapatnam,Pune,2/8/2019,8666
Visakhapatnam,Pune,2/9/2019,7277
Visakhapatnam,Pune,2/10/2019,9447
Visakhapatnam,Pune,2/11/2019,7458
Visakhapatnam,Pune,2/12/2019,5396
Visakhapatnam,Pune,2/13/2019,5081
Visakhapatnam,Pune,2/14/2019,5916
Visakhapatnam,Pune,2/15/2019,6560
Visakhapatnam,Pune,2/16/2019,5396
Visakhapatnam,Pune,2/17/2019,6731
Visakhapatnam,Pune,2/18/2019,4921
Visakhapatnam,Pune,2/19/2019,4871
Visakhapatnam,Pune,2/20/2019,4627
Visakhapatnam,Pune,2/21/2019,4439
Visakhapatnam,Pune,2/22/2019,4861
Visakhapatnam,Pune,2/23/2019,5158
Visakhapatnam,Pune,2/24/2019,6305
Visakhapatnam,Pune,2/25/2019,4590
Visakhapatnam,Pune,2/26/2019,4045
Visakhapatnam,Pune,2/27/2019,4045
Visakhapatnam,Pune,2/28/2019,4756
