Source ,Destination,Date,Fare
Visakhapatnam,Vijayawada,2/6/2019,8511
Visakhapatnam,Vijayawada,2/7/2019,4327
Visakhapatnam,Vijayawada,2/8/2019,4327
Visakhapatnam,Vijayawada,2/9/2019,4904
Visakhapatnam,Vijayawada,2/10/2019,5954
Visakhapatnam,Vijayawada,2/11/2019,4642
Visakhapatnam,Vijayawada,2/12/2019,4327
Visakhapatnam,Vijayawada,2/13/2019,4642
Visakhapatnam,Vijayawada,2/14/2019,3277
Visakhapatnam,Vijayawada,2/15/2019,3277
Visakhapatnam,Vijayawada,2/16/2019,3277
Visakhapatnam,Vijayawada,2/17/2019,3434
Visakhapatnam,Vijayawada,2/18/2019,3277
Visakhapatnam,Vijayawada,2/19/2019,4642
Visakhapatnam,Vijayawada,2/20/2019,4642
Visakhapatnam,Vijayawada,2/21/2019,2804
Visakhapatnam,Vijayawada,2/22/2019,2804
Visakhapatnam,Vijayawada,2/23/2019,4114
Visakhapatnam,Vijayawada,2/24/2019,3434
Visakhapatnam,Vijayawada,2/25/2019,3224
Visakhapatnam,Vijayawada,2/26/2019,2804
Visakhapatnam,Vijayawada,2/27/2019,2804
Visakhapatnam,Vijayawada,2/28/2019,2804
